timestep,Earth x,Earth y,Earth z,Moon x,Moon y,Moon z
62300.0,72273.00635906875,4478.20196797583,0.0,356440364.45498675,67092172.148636915,0.0
62400.0,72504.12567954122,4499.767352008187,0.0,356418428.56979483,67198325.34533511,0.0
62500.0,72735.61139755935,4521.4018252347405,0.0,356396457.9092562,67304471.98467311,0.0
62600.0,72967.46349677118,4543.105497997242,0.0,356374452.4749229,67410612.05617823,0.0
62700.0,73199.68196079813,4564.878480636432,0.0,356352412.2683494,67516745.54937783,0.0
62800.0,73432.26677323502,4586.720883492033,0.0,356330337.29109275,67622872.45379943,0.0
62900.0,73665.21791765006,4608.632816902752,0.0,356308227.54471254,67728992.75897059,0.0
63000.0,73898.5353775848,4630.614391206275,0.0,356286083.03077084,67835106.454419,0.0
63100.0,74132.21913655421,4652.665716739269,0.0,356263903.75083226,67941213.52967246,0.0
63200.0,74366.26917804661,4674.786903837376,0.0,356241689.706464,68047313.97425883,0.0
63300.0,74600.6854855237,4696.978062835213,0.0,356219440.89923567,68153407.77770607,0.0
63400.0,74835.46804242054,4719.23930406637,0.0,356197157.33071953,68259494.92954229,0.0
63500.0,75070.61683214559,4741.570737863409,0.0,356174839.0024903,68365575.41929562,0.0
63600.0,75306.13183808065,4763.972474557858,0.0,356152485.9161252,68471649.23649436,0.0
63700.0,75542.01304358088,4786.444624480215,0.0,356130098.07320404,68577716.37066686,0.0
63800.0,75778.26043197482,4808.98729795994,0.0,356107675.47530913,68683776.81134158,0.0
63900.0,76014.87398656437,4831.600605325459,0.0,356085218.12402534,68789830.54804708,0.0
64000.0,76251.85369062479,4854.284656904156,0.0,356062726.02094,68895877.57031202,0.0
64100.0,76489.1995274047,4877.039563022375,0.0,356040199.167643,69001917.86766517,0.0
64200.0,76726.91148012604,4899.865434005417,0.0,356017637.5657268,69107951.42963539,0.0
64300.0,76964.98953198416,4922.762380177539,0.0,355995041.2167864,69213978.24575163,0.0
64400.0,77203.43366614771,4945.730511861948,0.0,355972410.1224192,69319998.30554295,0.0
64500.0,77442.24386575873,4968.769939380804,0.0,355949744.2842252,69426011.59853849,0.0
64600.0,77681.42011393257,4991.880773055217,0.0,355927043.70380706,69532018.11426753,0.0
64700.0,77920.96239375796,5015.063123205242,0.0,355904308.38276976,69638017.84225942,0.0
64800.0,78160.87068829696,5038.3171001498795,0.0,355881538.32272094,69744010.77204362,0.0
64900.0,78401.14498058496,5061.642814207073,0.0,355858733.52527076,69849996.89314966,0.0
65000.0,78641.78525363069,5085.040375693706,0.0,355835893.9920319,69955976.19510722,0.0
65100.0,78882.79149041623,5108.509894925603,0.0,355813019.72461945,70061948.66744606,0.0
